time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,updated,place
2014-07-23T13:18:23.990Z,24.2713,139.2862,15.01,4.6,mb,110,3.84,1.07,us,2014-08-31T14:01:43.835Z,"215km WSW of Iwo Jima, Japan"
2014-07-23T03:23:45.740Z,24.1131,123.801,36.3,4.1,mb,152,0.802,0.78,us,2014-08-28T23:10:52.000Z,"44km SW of Ishigaki, Japan"
2014-07-23T02:07:46.870Z,37.0245,142.6786,36.17,4.3,mb,136,3.62,0.81,us,2014-08-28T22:37:07.543Z,"157km ESE of Namie, Japan"
2014-07-22T19:14:49.710Z,25.7765,130.2254,23.41,4.8,mb,130,7.344,0.72,us,2014-08-23T15:57:12.705Z,"242km ESE of Nago, Japan"
2014-07-22T16:47:04.010Z,23.964,122.5306,42.23,4.2,mb,123,0.666,0.74,us,2014-08-27T16:39:35.000Z,"73km SW of Yonakuni, Japan"
2014-07-22T14:57:29.440Z,28.0133,141.9136,67.99,4.6,mb,192,0.945,0.12,us,2014-08-27T15:24:41.683Z,"107km NNW of Chichi-shima, Japan"
2014-07-22T05:24:09.850Z,37.2329,144.6743,31.4,4.4,mb,137,4.917,0.96,us,2014-08-28T11:06:15.705Z,"Off the east coast of Honshu, Japan"
2014-07-21T23:38:17.630Z,35.4329,141.139,30.72,4.5,mb,118,2.559,0.92,us,2014-09-02T20:56:05.617Z,"43km SE of Hasaki, Japan"
2014-07-21T15:58:02.980Z,35.9561,137.8883,10,4.7,mb,99,0.639,0.42,us,2014-09-03T14:43:29.660Z,"10km WSW of Tatsuno, Japan"
2014-07-21T12:36:54.500Z,36.9689,142.6956,12.65,4.5,mb,137,3.628,1.04,us,2014-08-28T11:01:23.000Z,"160km ESE of Namie, Japan"
2014-07-20T17:18:21.990Z,40.0813,141.0919,80.58,4.2,mb,149,2.484,0.62,us,2014-08-25T14:33:43.949Z,"22km SW of Ichinohe, Japan"
2014-07-20T13:30:21.290Z,32.1242,134.3928,26.32,4.6,mb,55,3.13,0.47,us,2014-08-24T20:44:30.000Z,"130km S of Muroto, Japan"
2014-07-20T05:35:11.730Z,34.8003,135.6869,373.25,4,mb,55,1.229,0.41,us,2014-08-24T07:31:41.172Z,"3km ESE of Hirakata, Japan"
2014-07-20T01:25:33.500Z,36.5104,140.6298,56.69,4.6,mb,120,1.95,0.65,us,2014-09-03T04:41:16.071Z,"7km NE of Funaishikawa, Japan"
2014-07-19T01:42:53.790Z,36.0302,140.1164,66.4,4.6,mb,119,1.623,0.8,us,2014-09-03T04:31:46.419Z,"5km WSW of Naka, Japan"
2014-07-18T11:41:44.740Z,42.0376,144.1845,39.87,4.6,mb,130,0.765,0.94,us,2014-08-27T12:12:28.231Z,"105km S of Kushiro, Japan"
2014-07-18T04:56:54.560Z,39.7174,143.3429,25.84,4.5,mb,135,2.299,0.64,us,2014-08-16T23:32:24.107Z,"119km E of Miyako, Japan"
2014-07-18T04:38:50.380Z,37.1007,142.6359,10,4.6,mb,120,3.595,0.53,us,2014-08-21T04:57:16.000Z,"151km ESE of Namie, Japan"
2014-07-18T01:22:39.790Z,38.4606,144.3936,22.66,4.3,mb,135,3.674,0.87,us,2014-08-16T23:24:00.384Z,"235km ESE of Kamaishi, Japan"
2014-07-17T10:46:51.920Z,36.6445,143.0442,22.12,4.4,mb,131,3.892,1.26,us,2014-08-27T10:19:35.239Z,"197km ESE of Iwaki, Japan"
2014-07-17T03:02:22.740Z,40.1172,143.2544,47.33,4.1,mb,136,1.897,0.65,us,2014-08-25T04:00:11.652Z,"123km ENE of Miyako, Japan"
2014-07-16T23:16:19.460Z,38.2056,140.4484,132.17,4.3,mb,119,2.437,0.74,us,2014-08-17T03:39:43.000Z,"8km ESE of Yamagata-shi, Japan"
2014-07-16T08:24:54.790Z,36.9154,140.8714,36.88,4.6,mb,114,2.171,1.19,us,2014-09-09T07:32:31.430Z,"14km S of Iwaki, Japan"
2014-07-15T20:43:40.590Z,36.7091,142.4669,9.74,4.7,mb,128,3.429,1.3,us,2014-08-20T19:28:20.718Z,"146km ESE of Iwaki, Japan"
2014-07-15T19:45:21.350Z,36.9727,142.7316,13.01,4.3,mb,130,3.657,1.11,us,2014-08-20T21:26:57.517Z,"163km ESE of Namie, Japan"
2014-07-15T16:37:45.260Z,36.8297,142.6271,35.08,4.3,mb,148,3.562,0.98,us,2014-08-21T16:20:22.054Z,"157km E of Iwaki, Japan"
2014-07-15T15:23:45.180Z,28.9171,142.169,22.87,4.9,mb,117,1.814,0.85,us,2014-08-21T14:38:56.061Z,"203km N of Chichi-shima, Japan"
2014-07-15T12:53:23.680Z,23.9307,122.5882,22.96,4.1,mb,105,0.659,1.47,us,2014-08-25T11:54:44.451Z,"72km SW of Yonakuni, Japan"
2014-07-15T10:43:13.910Z,37.0347,142.7481,24.56,4.5,mb,151,3.676,0.79,us,2014-08-22T14:09:21.816Z,"162km ESE of Namie, Japan"
2014-07-15T10:38:43.020Z,27.014,140.537,484.62,4.1,mb,118,1.471,0.34,us,2014-08-21T12:13:46.147Z,"166km W of Chichi-shima, Japan"
2014-07-15T03:30:17.570Z,36.9873,143.5311,17.25,4.1,mb,193,4.296,0.85,us,2014-08-20T00:05:44.000Z,"231km ESE of Namie, Japan"
2014-07-15T03:20:57.830Z,30.3394,138.7421,373.08,4.1,mb,70,2.909,0.61,us,2014-08-20T00:25:00.412Z,"Izu Islands, Japan region"
2014-07-15T00:40:45.150Z,36.957,142.7016,10,4.3,mb,134,3.631,0.86,us,2014-08-16T04:04:25.129Z,"161km ESE of Namie, Japan"
2014-07-14T16:00:17.670Z,33.1488,141.9491,7.45,4.4,mb,131,1.792,0.46,us,2014-08-20T16:40:14.180Z,"200km E of Hachijo-jima, Japan"
2014-07-14T15:57:14.960Z,33.0769,141.8452,10,4.6,mb,112,1.705,0.46,us,2014-08-20T16:18:03.558Z,"190km E of Hachijo-jima, Japan"
2014-07-14T14:41:51.330Z,33.1205,141.8942,10,4.6,mb,119,1.745,0.6,us,2014-08-20T15:15:45.212Z,"195km E of Hachijo-jima, Japan"
2014-07-14T14:41:22.790Z,33.1235,141.9784,10,4.4,mb,173,1.842,1.16,us,2014-08-20T14:49:34.112Z,"203km E of Hachijo-jima, Japan"
2014-07-13T22:12:03.630Z,36.8915,142.5736,10,4.2,mb,141,3.527,0.83,us,2014-08-26T21:38:46.000Z,"151km E of Iwaki, Japan"
2014-07-13T19:44:13.500Z,36.9658,142.6178,25.92,4.5,mb,157,3.565,0.69,us,2014-08-18T14:32:40.786Z,"154km E of Iwaki, Japan"
2014-07-13T13:26:47.860Z,37.0199,143.4241,10,4.7,mb,64,4.213,0.54,us,2014-08-17T20:06:55.467Z,"221km ESE of Namie, Japan"
2014-07-13T06:08:41.740Z,23.3568,123.5997,23.89,4.4,mb,115,1.229,0.74,us,2014-08-20T08:32:12.885Z,"123km SSW of Ishigaki, Japan"
2014-07-13T01:58:50.910Z,37.0538,142.41,10,4.4,mb,120,3.41,0.42,us,2014-08-13T23:19:19.330Z,"133km ESE of Namie, Japan"
2014-07-13T01:58:23.440Z,36.823,142.4003,28.87,4,mb,135,3.38,0.63,us,2014-08-13T23:08:53.140Z,"137km E of Iwaki, Japan"
2014-07-12T19:54:48.670Z,37.0385,142.6494,13.7,4.4,mb,136,3.598,0.72,us,2014-08-13T02:19:11.000Z,"154km ESE of Namie, Japan"
2014-07-12T19:10:07.070Z,36.9231,142.3595,27.38,4.5,mb,120,3.355,0.94,us,2014-08-12T22:36:43.705Z,"132km E of Iwaki, Japan"
2014-07-12T17:44:20.040Z,36.8748,142.584,19.48,4.5,mb,135,3.531,1.18,us,2014-08-19T20:59:20.015Z,"152km E of Iwaki, Japan"
2014-07-12T16:58:00.720Z,24.7452,141.2889,194.02,4.1,mb,122,2.475,0.5,us,2014-08-17T20:37:00.697Z,"6km SW of Iwo Jima, Japan"
2014-07-12T16:19:46.940Z,23.4498,143.2966,16.56,4.4,mb,124,3.767,0.39,us,2014-08-17T20:15:55.000Z,"248km SE of Iwo Jima, Japan"
2014-07-12T09:29:56.380Z,36.9473,142.3437,10,4.5,mb,128,3.345,0.71,us,2014-08-27T08:34:19.000Z,"130km E of Iwaki, Japan"
2014-07-12T07:59:31.770Z,38.2516,142.026,56.82,4.4,mb,130,3.485,0.7,us,2014-07-31T13:34:08.000Z,"66km ESE of Ishinomaki, Japan"
2014-07-12T03:22:31.080Z,37.0377,142.293,32.91,4.2,mb,135,3.315,1.36,us,2014-08-13T04:49:01.000Z,"124km ESE of Namie, Japan"
2014-07-12T01:29:08.670Z,37.0065,142.6814,29.28,4.3,mb,157,3.62,0.95,us,2014-08-08T22:10:51.000Z,"158km ESE of Namie, Japan"
2014-07-12T00:56:59.570Z,36.9348,142.5163,27.13,4.5,mb,129,3.481,1.05,us,2014-08-11T04:14:55.123Z,"145km E of Iwaki, Japan"
2014-07-12T00:52:31.680Z,36.9841,142.6682,16.98,4.2,mb,138,3.607,0.98,us,2014-08-11T04:51:59.928Z,"158km ESE of Namie, Japan"
2014-07-11T23:39:07.010Z,37.1699,142.3757,10,4.4,mb,154,3.4,1.93,us,2014-08-28T20:58:01.000Z,"126km ESE of Namie, Japan"
2014-07-11T22:45:08.110Z,36.7669,142.4136,34.71,4.4,mb,136,3.388,0.89,us,2014-08-15T22:54:28.000Z,"139km ESE of Iwaki, Japan"
2014-07-11T21:57:02.250Z,36.8062,142.5412,21.28,4.3,mb,136,3.492,1.15,us,2014-08-15T21:47:27.000Z,"150km E of Iwaki, Japan"
2014-07-11T21:49:21.910Z,36.8208,142.543,33.33,4.5,mb,149,3.494,1.47,us,2014-08-15T21:31:58.337Z,"150km E of Iwaki, Japan"
